kanji,meanings,readings,stroke_number,unicode
勇,be in high spirits; bravery; cheer up; courage; heroism,ユウ; いさ.む; お; はや,9,52C7
曜,weekday,ヨウ; てる,18,66DC
来,become; cause; come; due; next,タイ; ライ; き; き.たす; き.たる; きた.す; きた.る; く.る; こ; くり; くる; ごろ; さ,7,6765
流,a sink; current; flow; forfeit,リュウ; ル; -なが.す; なが.す; なが.れ; なが.れる; な; ながれ; めぐる,10,6D41
林,forest; grove,リン; はやし; し,8,6797
練,drill; gloss; polish; practice; refine; train,レン; ね.り; ね.る; ねり,14,7DF4
圧,dominate; oppress; overwhelm; pressure; push,アツ; エン; オウ; お.さえる; お.す; おさ.える; へ.す,5,5727
易,divination; easy; fortune-telling; ready to; simple,イ; エキ; やさ.しい; やす.い,8,6613
員,employee; member; number; the one in charge,イン; いな; かず,10,54E1
栄,flourish; glory; honor; prosperity; splendor,エイ; ヨウ; -ば.え; え; さか.える; は.え; は.える; さかえ; しげ; てる; なが; ひで; よし,9,6804
延,prolong; stretching,エン; の.ばす; の.びる; の.べ; の.べる; たか; のぶ; のべ,8,5EF6
億,10**8; hundred million,オク; お,15,5104
加,Canada; add; addition; include; increase; join,カ; くわ.える; くわ.わる,5,52A0
荷,baggage; bear (a burden); cargo; freight; load; shoulder (a gun); shoulder-pole load,カ; に; はす; り,10,8377
回,-times; counter for occurrences; game; revolve; round,エ; カイ; -まわ.し; -まわ.す; -まわ.り; -まわ.る; か.える; まわ.し-; まわ.す; まわ.る; もとお.る,6,56DE
外,outside,ガイ; ゲ; そと; と-; はず.す; はず.れる; ほか; うい; け; ふか,5,5916
楽,comfort; ease; music,ガク; ゴウ; ラク; この.む; たの.しい; たの.しむ; さ; た; やす; ら,13,697D
感,emotion; feeling; sensation,カン,13,611F
眼,eyeball,ガン; ゲン; まなこ; め,11,773C
期,date; period; term; time,キ; ゴ,12,671F
起,get up; rouse; wake up,キ; お.きる; お.こす; お.こる; おこ.す; た.つ,10,8D77
急,emergency; hurry; steep; sudden,キュウ; いそ.ぎ; いそ.ぐ; せ.く,9,6025
居,exist; live with; reside; to be,キョ; コ; -い; い.る; お.る; おき; ぐ; すえ,8,5C45
境,border; boundary; region,キョウ; ケイ; さかい; さか; じき,14,5883
玉,ball; jewel,ギョク; -だま; たま; たま-; おう; だん,5,7389
苦,feel bitter; hardship; scowl; suffering; trial; worry,ク; -ぐる.しい; くる.しい; くる.しむ; くる.しめる; にが.い; にが.る,8,82E6
型,model; mould; type,ケイ; -がた; かた,9,578B
決,agree upon; appoint; decide; fix,ケツ; -ぎ.め; き.まる; き.める; さ.く,7,6C7A
憲,constitution; law,ケン; かず; のり; よし,16,61B2
元,beginning; former time; origin,ガン; ゲン; もと; ちか; はじめ; はる; ゆき; よし,4,5143
己,self,キ; コ; おのれ; つちのと; な; し; み,3,5DF1
護,protect; safeguard,ゴ; まも.る; もり,20,8B77
后,after; back; behind; empress; later; queen,コウ; ゴ; きさき,6,540E
耕,cultivate; plow; till,コウ; たがや.す; こお,10,8015
国,country,コク; くに; くな; こ,8,56FD
最,extreme; most; utmost,サイ; シュ; つま; もっと.も; も,12,6700
在,exist; located in; outskirts; suburbs,ザイ; あ.る; あり,6,5728
殺,butcher; diminish; kill; murder; reduce; slice off; split; spoil,サイ; サツ; セツ; -ごろ.し; あや.める; ころ.す; そ.ぐ,10,6BBA
酸,acid; bitterness; sour; tart,サン; す.い,14,9178
子,11PM-1AM; child; first sign of Chinese zodiac; sign of the rat,シ; ス; ツ; -こ; こ; ね; い; き; ぎ; く; け; ねっ,3,5B50
私,I; me; private,シ; わたくし; わたし,7,79C1
事,business; fact; matter; possibly; reason; thing,ジ; ズ; こと; つか.う; つか.える; ろ,8,4E8B
耳,ear,ジ; みみ; がみ,6,8033
舎,cottage; house; hut; inn; mansion,シャ; セキ; やど.る; さ; とり,8,820E
取,fetch; take; take up,シュ; -ど.り; と.り; と.り-; と.る; とり; どる,8,53D6
周,circuit; circumference; lap,シュウ; まわ.り; あまね; しゅ; す; ちか; のり; ひろ; びび; まこと,8,5468
週,week,シュウ,11,9031
述,mention; relate; speak; state,ジュツ; の.べる,8,8FF0
諸,many; several; together; various,ショ; もろ,15,8AF8
