kanji,unicode,stroke_number,jlpt,on_readings,kun_readings,name_readings
軽,8EFD,12,N2,キョウ; キン; ケイ,かる.い; かろ.やか; かろ.んじる,
兼,517C,10,N1,ケン,-か.ねる; か.ねる,かね
見,898B,7,N5,ケン,み.える; み.せる; み.る,
個,500B,10,N2,カ; コ,,
後,5F8C,9,N5,コウ; ゴ,あと; うし.ろ; うしろ; おく.れる; のち,こし; し; しい; しり
厚,539A,9,N2,コウ,あか; あつ.い,あ; あっ
構,69CB,14,N3,コウ,かま.う; かま.える,とち
号,53F7,5,N3,ゴウ,さけ.ぶ; よびな,
差,5DEE,10,N3,サ,さ.し; さ.す,
細,7D30,11,N2,サイ,こま.か; こま.かい; ほそ.い; ほそ.る,
策,7B56,12,N1,サク,,
算,7B97,14,N2,サン,そろ,
士,58EB,3,N1,シ,さむらい,お; ま
止,6B62,4,N4,シ,-さ.し; -さ.す; -と.める; -ど.まり; -ど.め; -や.む; と.まる; と.める; とど.まる; とど.め; とど.める; や.む; や.める; よ.す,どめ
試,8A66,13,N4,シ,こころ.みる; ため.す,
次,6B21,6,N3,シ; ジ,つ.ぐ; つぎ,き; すき; つぐ; よし
室,5BA4,9,N4,シツ,むろ,
釈,91C8,11,N1,シャク; セキ,す.てる; とく; ゆる.す,しゃ
授,6388,11,N1,ジュ,さず.かる; さず.ける,
終,7D42,11,N4,シュウ,-お.わる; お.える; お.わる; おわ.る; つい; つい.に,ばて
祝,795D,9,N2,シュウ; シュク,いわ.う,のり; ほぎ; ゆわい
所,6240,8,N3,ショ,-ところ; とこ; ところ; どころ,せ
唱,5531,11,N1,ショウ,とな.える,
称,79F0,10,N1,ショウ,あ.げる; かな.う; たた.える; とな.える; はか.り; はか.る; ほめ.る,ね
条,6761,7,N1,ジョウ; チョウ; デキ,えだ; すじ,
森,68EE,12,N2,シン,もり,もと
仁,4EC1,4,N1,ジン; ニ; ニン,,きみ; く; さと; しのぶ; じ; と; のり; ひと; ひとし; ひろ; まさ; まさし; やす; よし
成,6210,6,N3,ジョウ; セイ,-な.す; な.す; な.る,あき; あきら; しげ; そん; たえ; なお; なり; なる; のり; ひら; まさ; よし; り
声,58F0,7,N3,ショウ; セイ,こえ; こわ-,
績,7E3E,17,N2,セキ,,み
絶,7D76,12,N3,ゼツ,た.える; た.つ; た.やす,
船,8239,11,N3,セン,ふな-; ふね,ふ
創,5275,12,N1,ショウ; ソウ,きず; けず.しける; つく.る; はじ.める,はじめ
像,50CF,14,N2,ゾウ,,かた
俗,4FD7,9,N1,ゾク,,
他,4ED6,5,N3,タ,ほか,
退,9000,9,N3,タイ,しりぞ.く; しりぞ.ける; ど.く; の.く; の.ける; ひ.く,
炭,70AD,9,N2,タン,すみ,
築,7BC9,16,N2,チク,きず.く,つい; つき; つく; づき
著,8457,11,N2,チャク; チョ,あらわ.す; いちじる.しい,
鳥,9CE5,11,N4,チョウ,とり,か; と; とっ
弟,5F1F,7,N4,ダイ; テイ; デ,おとうと,て
店,5E97,8,N4,テン,たな; みせ,
度,5EA6,9,N4,タク; ト; ド,-た.い; たび,のり
当,5F53,6,N3,トウ,あ.たり; あ.たる; あ.て; あ.てる; まさ.に; まさ.にべし,たい
導,5C0E,15,N2,ドウ,みちび.く,みち
届,5C4A,8,N2,カイ,-とど.け; とど.く; とど.ける,
認,8A8D,14,N3,ニン,したた.める; みと.める,
破,7834,10,N3,ハ,やぶ.る; やぶ.れる; わ.れる,
麦,9EA6,7,N2,バク,むぎ,
飯,98EF,12,N4,ハン,めし,い; いい; いり; え
備,5099,12,N3,ビ,そな.える; そな.わる; つぶさ.に,びっ; びん
表,8868,8,N3,ヒョウ,-おもて; あら.わす; あらわ.す; あらわ.れる; おもて,
富,5BCC,12,N3,フ; フウ,と.む; とみ,と; とん; ふっ
服,670D,8,N4,フク,,はっ; はつ; はら
兵,5175,7,N2,ヒョウ; ヘイ,つわもの,へ
勉,52C9,10,N4,ベン,つと.める,ひこ; やつ
方,65B9,4,N4,ホウ,-かた; -がた; かた,から; な; なた; ふさ; まさ; みち; も; わ
妹,59B9,8,N4,マイ,いもうと,す; せ; も
無,7121,12,,ブ; ム,な.い,
木,6728,4,N5,ボク; モク,き; こ-,ぐ; も; もと
油,6CB9,8,N2,ユ; ユウ,あぶら,
預,9810,13,N2,ヨ,あず.かる; あず.ける,
欲,6B32,11,N3,ヨク,ほ.しい; ほっ.する,
立,7ACB,5,N4,リットル; リツ; リュウ,-た.つ; -た.て; -た.てる; -だ.て; -だ.てる; た.ち-; た.つ; た.て-; た.てる; たて-,たち; たっ; たつ; だて; つい
力,529B,2,N4,リイ; リキ; リョク,ちから,じから; つとむ
歴,6B74,14,N2,レキ; レッキ,,
和,548C,8,N3,オ; カ; ワ,あ.える; なご.む; なご.やか; やわ.らぐ; やわ.らげる,あい; いず; かず; かつ; かつり; かづ; たけ; ち; とも; な; にぎ; まさ; やす; よし; より; わだこ; わっ
